year,file,cluster,value
2000,00102510DN.txt,organizations,YearAward University of Wollongong
2000,00102510DN.txt,organizations,University
2000,00102510DN.txt,organizations,"University of the Engineering, Health & Behavioural Science"
2000,00102910LS.txt,organizations,International University
2000,00103106DN.txt,organizations,University
2000,00110128DN.txt,organizations,RONGAI & NAZARKNE UNIVERSITY Tenders
2000,00111036DN.txt,organizations,Egerton University
2000,00111036DN.txt,organizations,University of Nairobi
2000,00111036DN.txt,organizations,Strengthening University
2000,00111307DN.txt,organizations,Rutgers University
2000,00111307DN.txt,organizations,University of still
2000,00111307DN.txt,organizations,Moi University
2000,00111307DN.txt,organizations,University of Nairobi
2000,00111315DN.txt,organizations,University
2000,00111316DN.txt,organizations,The University of Nairobi
2000,00111316DN.txt,organizations,University
2000,00111316DN.txt,organizations,African Virtual University
2000,00111316DN.txt,organizations,Uppsala University
2000,00111316DN.txt,organizations,Egerton University
2000,00111316DN.txt,organizations,University Library
2000,00111316DN.txt,organizations,University of Nairobi
2000,00111316DN.txt,organizations,University of Brussels
2000,00111316DN.txt,organizations,Nairobi University
2000,00112902MA.txt,organizations,University of the United'States
2000,00113005DN.txt,organizations,African Virtual University
2000,00113005DN.txt,organizations,University
2000,00120604MA.txt,organizations,Johns Hopkins University
2000,00120708DN.txt,organizations,University
2000,00120708DN.txt,organizations,University of Nairobi
2000,00120729DN.txt,organizations,University of cent of US
2000,00121520DN.txt,organizations,University
2000,00121520DN.txt,organizations,Moi University
2000,00121714SN.txt,organizations,University of Nairobi
2000,00122126DN.txt,organizations,Texas A&M University
2000,00122126DN.txt,organizations,Oxford University
2000,00122126DN.txt,organizations,University of Edinburgh
2000,00122126DN.txt,organizations,University of Nairobi
2000,00122707DN.txt,organizations,University of Nairobi
2000,00122719DN.txt,organizations,Egerton University
2000,00123103LS.txt,organizations,University of Nairobi
2000,00123116SN.txt,organizations,University of Nai
2001,01010106DN.txt,organizations,University of Natal!
2001,01010407DN.txt,organizations,Moi University
2001,01010408DN.txt,organizations,Oxford University
2001,01010408DN.txt,organizations,University of Nairobi
2001,010109NC53D.txt,organizations,University of Nairobi Law
2001,01011216DN.txt,organizations,University
2001,01011216DN.txt,organizations,Kenyatta University
2001,01011825DN.txt,organizations,University of Virginia Health
2001,01012519DN.txt,organizations,University of Nairobi
2001,01012519DN.txt,organizations,Nairobi University
2001,01012927DN.txt,organizations,University Degree in Horticulture
2001,01020703WM.txt,organizations,Johns Hopkins University Medical Center
2001,01020809DN.txt,organizations,Adj.Daystar University
2001,01020930DN.txt,organizations,University of population
2001,01020930DN.txt,organizations,University Vice Chancellor
2001,01020930DN.txt,organizations,Senegal University
2001,01021626DN.txt,organizations,University
2001,01022230DN.txt,organizations,Harvard University in Public Sector Distribution Project
